"title","genre","runtime","mpaa_rating","thtr_rel_year","thtr_rel_month","thtr_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_score"
"Clerks II","Drama",97,"R",2006,7,21,7.4,112216,"Fresh",63,84
"White House Down","Drama",131,"PG-13",2013,6,28,6.4,154674,"Rotten",51,62
"Flesh & Blood (Flesh+Blood) (The Rose and the Sword)","Drama",126,"R",1985,8,30,6.7,12535,"Fresh",79,63
"Bastard out of Carolina","Drama",97,"R",1996,12,15,7.4,3363,"Fresh",100,83
"Red Dawn","Action & Adventure",114,"PG-13",1984,8,10,6.3,40659,"Rotten",53,65
"Rescue Dawn","Drama",120,"PG-13",2007,7,27,7.4,82378,"Certified Fresh",91,74
"The Longshots","Drama",94,"PG",2008,8,22,5.1,3135,"Rotten",41,61
"Blind Spot: Hitler's Secretary","Documentary",90,"PG",2002,10,10,7.3,1489,"Certified Fresh",85,70
"U-Turn","Drama",125,"R",1997,10,3,6.8,41385,"Rotten",59,62
"Something's Gotta Give","Comedy",128,"PG-13",2003,12,12,6.7,88523,"Fresh",71,69
"A Boy and His Dog","Drama",91,"R",1975,3,1,6.6,12221,"Fresh",75,63
"Terror Train","Horror",97,"R",1980,1,1,5.9,6304,"Rotten",36,39
"Leatherface: The Texas Chainsaw Massacre III","Horror",85,"R",1990,1,12,5.1,9565,"Rotten",19,32
"Lorenzo's Oil","Drama",129,"PG-13",1992,12,30,7.2,15913,"Fresh",94,79
"Groundhog Day","Other",101,"PG",1993,2,12,8.1,414687,"Certified Fresh",96,87
"Conviction","Drama",107,"R",2010,10,15,7.2,33720,"Fresh",67,70
"Kicking It","Documentary",98,"Unrated",2008,6,13,7.4,325,"Rotten",53,71
"Vampire Hunter D: Bloodlust","Action & Adventure",103,"R",2001,9,21,7.8,22245,"Fresh",72,86
"Bounce","Drama",106,"PG-13",2000,11,17,5.7,17133,"Rotten",52,33
"A Mighty Heart","Drama",108,"R",2007,6,22,6.7,23821,"Certified Fresh",79,70
"Santa Sangre","Drama",123,"R",1990,6,1,7.7,13285,"Fresh",85,87
"Resident Evil","Action & Adventure",100,"R",2002,3,15,6.7,192052,"Rotten",33,68
"Top Gun","Drama",110,"PG",1986,5,16,6.9,211129,"Rotten",54,83
"25th Hour","Drama",135,"R",2003,1,10,7.7,146518,"Certified Fresh",78,85
"The Bad News Bears in Breaking Training","Comedy",100,"PG",1977,7,8,5.4,2239,"Rotten",50,39
"Streets of Gold","Drama",95,"R",1986,11,14,6,486,"Rotten",31,44
"The Mod Squad","Drama",92,"R",1999,3,26,4.1,7658,"Rotten",4,17
"Where the Heart Is","Drama",107,"R",1990,1,1,6.1,1268,"Rotten",11,58
"Battlefield Earth","Action & Adventure",118,"PG-13",2000,5,12,2.4,64119,"Rotten",3,11
"Osmosis Jones","Comedy",95,"PG",2001,8,10,6.2,24678,"Rotten",55,41
"Never Cry Wolf","Drama",105,"PG",1983,1,1,7.6,6114,"Fresh",100,85
"A Good Woman","Drama",93,"PG",2006,2,3,6.5,9399,"Rotten",37,49
"Drive","Drama",100,"R",2011,9,16,7.8,414650,"Certified Fresh",92,79
"2 Days in the Valley","Drama",104,"R",1996,9,27,6.5,15291,"Fresh",60,54
"Married to It","Drama",112,"R",1993,3,26,5.9,725,"Rotten",33,41
"Pay It Forward","Drama",123,"PG-13",2000,10,20,7.1,93331,"Rotten",40,77
"Topsy-Turvy","Drama",154,"R",1999,12,17,7.4,9876,"Certified Fresh",89,79
"Beyond the Gates","Drama",115,"R",2005,12,8,7.7,9525,"Certified Fresh",84,85
"Top Secret!","Comedy",90,"PG",1984,6,8,7.2,44741,"Fresh",76,80
"Gaza Strip","Documentary",74,"Unrated",2002,1,1,7.3,285,"Fresh",78,89
"Night and the City","Drama",105,"R",1992,10,11,5.8,3673,"Fresh",67,31
"Lockout (Unrated)","Action & Adventure",95,"PG-13",2012,4,13,6.1,79970,"Rotten",38,46
"Orwell Rolls in His Grave","Documentary",84,"Unrated",2003,10,23,8.1,1058,"Fresh",79,92
"Sunshine Cleaning","Comedy",91,"R",2009,3,13,6.9,60220,"Certified Fresh",72,62
"The Stupids","Comedy",94,"PG",1996,9,6,4.1,5591,"Rotten",21,36
"Better This World","Documentary",82,"Unrated",2011,9,16,7.3,340,"Fresh",100,80
"Wimbledon","Drama",98,"PG-13",2004,9,17,6.3,50340,"Fresh",60,57
"B. Monkey","Drama",92,"R",1999,9,10,6,2934,"Fresh",61,55
"Caveman","Action & Adventure",91,"PG",1981,4,17,5.7,5564,"Rotten",24,55
"V for Vendetta","Drama",132,"R",2006,3,17,8.2,753592,"Certified Fresh",73,90
"One on One","Drama",98,"PG",1977,6,28,6.4,1141,"Fresh",83,75
"Flesh And Bone","Drama",126,"R",1993,11,5,6.2,3967,"Fresh",67,40
"Mission: Impossible","Mystery & Suspense",110,"PG-13",1996,5,22,7.1,287476,"Fresh",63,71
"A Time to Kill","Mystery & Suspense",149,"R",1996,7,24,7.4,94983,"Fresh",67,86
"The Color of Money","Other",119,"R",1986,10,8,7,56185,"Fresh",90,73
"Knightriders","Drama",146,"R",1981,1,1,6.4,3138,"Fresh",82,61
"The Company You Keep","Mystery & Suspense",125,"R",2013,4,5,6.4,25264,"Rotten",55,45
"Madea Goes to Jail","Drama",103,"PG-13",2009,2,20,4.1,9424,"Rotten",29,70
"Every Which Way But Loose","Action & Adventure",114,"PG",1978,12,20,6.2,16681,"Rotten",31,56
"Strictly Business","Drama",83,"PG-13",1991,11,8,5.3,1308,"Rotten",10,56
"Once","Musical & Performing Arts",85,"R",2007,5,18,7.9,87215,"Certified Fresh",97,91
"Beverly Hills Cop","Action & Adventure",105,"R",1984,12,1,7.3,121245,"Certified Fresh",83,81
"The Raven","Mystery & Suspense",110,"R",2012,4,27,6.4,71112,"Rotten",22,46
"Nick and Norah's Infinite Playlist","Comedy",90,"PG-13",2008,10,3,6.7,72295,"Fresh",74,65
"Attack of the 50 Foot Woman","Other",90,"R",1993,12,11,3.8,2289,"Rotten",22,21
"The Sum of All Fears","Drama",124,"PG-13",2002,5,31,6.4,84191,"Rotten",59,49
"The Interview","Comedy",112,"R",2014,12,25,6.6,235529,"Rotten",51,48
"Let the Right One In","Drama",115,"R",2008,1,26,8,168032,"Certified Fresh",98,90
"Volcano","Drama",104,"PG-13",1997,4,25,5.4,56329,"Rotten",44,31
"Nostalgia for the Light","Documentary",90,"Unrated",2011,3,18,7.6,2849,"Certified Fresh",100,84
"Where the Heart Is","Drama",120,"PG-13",2000,4,28,6.8,26360,"Rotten",35,77
"The Cake Eaters","Art House & International",86,"R",2007,4,29,6.5,5762,"Fresh",64,48
"The Darwin Awards","Drama",94,"R",2006,7,5,5.9,8521,"Rotten",25,45
"Kick-Ass 2","Action & Adventure",103,"R",2013,8,16,6.6,191935,"Rotten",30,58
"Hotel Terminus: The Life and Times of Klaus Barbie","Documentary",267,"Unrated",1988,11,1,7.8,872,"Fresh",100,73
"Jade","Drama",95,"R",1995,10,13,5.1,8999,"Rotten",14,27
"Lethal Weapon","Drama",110,"R",1987,3,6,7.6,184656,"Certified Fresh",84,85
"Closet Land","Mystery & Suspense",89,"R",1991,3,6,7.2,2098,"Rotten",44,86
"Cast Away","Drama",143,"PG-13",2000,12,22,7.7,375820,"Certified Fresh",90,83
"Crocodile Dundee in Los Angeles","Action & Adventure",92,"PG",2001,4,20,4.8,19187,"Rotten",11,25
"Motorama","Drama",90,"R",1992,3,28,6.4,1406,"Fresh",60,61
"Lost and Delirious","Drama",103,"R",2001,7,20,7,16755,"Rotten",51,78
"Antiviral","Drama",108,"Unrated",2013,4,12,5.6,9003,"Fresh",64,40
"Class Action","Mystery & Suspense",110,"R",1991,3,15,6.3,5014,"Fresh",75,51
"The Pit and the Pendulum","Horror",97,"R",1991,6,27,6.1,2818,"Rotten",56,40
"Man on Wire","Documentary",94,"PG-13",2008,1,22,7.9,38076,"Certified Fresh",100,87
"Madagascar: Escape 2 Africa","Action & Adventure",89,"PG",2008,11,7,6.7,137405,"Fresh",64,66
"Failure to Launch","Drama",97,"PG-13",2006,3,10,5.6,56361,"Rotten",24,52
"London to Brighton","Mystery & Suspense",85,"R",2008,2,8,7,7244,"Fresh",67,75
"A Stranger Among Us","Drama",110,"PG-13",1992,1,1,5.7,2701,"Rotten",23,40
"Van Wilder: The Rise of Taj (Van Wilder 2)","Comedy",97,"R",2006,12,1,4.8,18712,"Rotten",7,38
"The Human Stain","Mystery & Suspense",106,"R",2003,10,21,6.3,25054,"Rotten",43,49
"Woo","Comedy",84,"R",1998,5,8,3.8,1510,"Rotten",10,63
"The Black Stallion","Action & Adventure",118,"G",1979,10,17,7.4,8544,"Fresh",88,83
"Savior","Drama",103,"R",1998,11,20,7.3,8561,"Rotten",56,81
"Project X","Drama",88,"R",2012,3,2,6.7,151934,"Rotten",28,61
"Bottle Rocket","Drama",91,"R",1996,2,23,7.1,52449,"Certified Fresh",85,80
"At First Sight","Drama",128,"PG-13",1999,1,15,5.9,11001,"Rotten",32,46
"Session 9","Drama",100,"R",2001,8,10,6.5,42613,"Fresh",63,64
"Liz & Dick","Drama",88,"Unrated",2012,1,1,4.1,3505,"Rotten",33,19
"The Devil's Rejects","Horror",107,"R",2005,7,22,6.9,74294,"Rotten",53,78
"Surviving Progress","Documentary",86,"G",2012,4,6,7.5,1480,"Fresh",75,80
"The Squeeze","Action & Adventure",101,"PG-13",1987,7,10,4.5,703,"Rotten",17,33
"Kindergarten Cop","Action & Adventure",111,"PG-13",1990,12,21,6,103789,"Rotten",51,51
"In the Loop","Art House & International",106,"Unrated",2009,7,24,7.5,42842,"Certified Fresh",94,81
"Cypher","Action & Adventure",95,"R",2002,10,7,6.8,26731,"Rotten",58,65
"Love and Death","Drama",85,"PG",1975,6,10,7.8,26628,"Fresh",100,90
"Happy Gilmore","Comedy",92,"PG-13",1996,2,16,7,149437,"Fresh",60,85
"Catch a Fire","Drama",101,"PG-13",2006,10,27,6.7,9291,"Certified Fresh",76,71
"Run Lola Run","Drama",81,"R",1999,6,18,7.8,157701,"Certified Fresh",93,90
"Funny Farm","Comedy",101,"PG",1988,6,3,6.1,14901,"Fresh",67,50
"Winter Kills","Mystery & Suspense",97,"R",1977,1,1,6.4,1361,"Fresh",86,51
"Waking Life","Drama",99,"R",2001,1,19,7.8,47065,"Certified Fresh",80,87
"An Ideal Husband","Comedy",97,"PG-13",1999,6,18,6.9,12606,"Certified Fresh",85,69
"Being John Malkovich","Drama",112,"R",1999,10,29,7.8,246587,"Certified Fresh",93,87
"Secondhand Lions","Drama",111,"PG",2003,9,19,7.6,42208,"Rotten",59,84
"Politiki Kouzina (A Touch of Spice)","Drama",108,"Unrated",2003,10,24,7.6,9216,"Rotten",31,86
"Hellboy II: The Golden Army (Hellboy 2)","Action & Adventure",120,"PG-13",2008,6,28,7,201787,"Certified Fresh",85,71
"The Return of the Pink Panther","Mystery & Suspense",113,"G",1975,5,21,7.1,19000,"Fresh",89,82
"Love the Beast","Documentary",92,"R",2009,3,12,7.5,1799,"Fresh",61,72
"200 Cigarettes","Drama",101,"R",1999,2,26,5.9,12877,"Rotten",28,59
"The Wild Geese","Drama",134,"R",1978,11,11,6.8,9025,"Fresh",60,76
"The Slumber Party Massacre","Horror",77,"R",1982,11,12,5.7,5985,"Rotten",36,45
"Oliver & Company","Animation",74,"G",1988,11,18,6.7,30886,"Rotten",43,63
"No Mercy","Drama",106,"R",1986,12,19,5.6,4970,"Rotten",21,29
"Imagining Argentina","Art House & International",107,"R",2004,6,11,6.3,2732,"Rotten",33,72
"Good Boy!","Comedy",87,"PG",2003,10,10,5.1,3336,"Rotten",44,40
"Speed","Mystery & Suspense",116,"R",1994,6,10,7.2,252661,"Certified Fresh",93,76
"Me and You and Everyone We Know","Drama",91,"R",2005,6,24,7.4,30641,"Certified Fresh",81,84
"Henry: Portrait of a Serial Killer","Drama",83,"NC-17",1986,9,24,7,22601,"Certified Fresh",86,71
"Someone to Watch over Me","Drama",106,"R",1987,10,9,6.1,7076,"Fresh",76,42
"Grease","Other",110,"PG",1978,6,1,7.2,161601,"Certified Fresh",78,88
"28 Days Later","Science Fiction & Fantasy",113,"R",2003,6,27,7.6,285328,"Certified Fresh",87,85
"Normal","Drama",110,"Unrated",2003,1,21,7.3,2598,"Fresh",100,75
"Winter's Bone","Drama",100,"R",2010,6,11,7.2,108598,"Certified Fresh",94,76
"Your Sister's Sister","Drama",90,"R",2012,6,15,6.7,20655,"Certified Fresh",83,66
"Sleepover","Comedy",89,"PG",2004,7,9,5.3,12322,"Rotten",15,55
"The Kingdom","Drama",110,"R",2007,9,28,7.1,99192,"Rotten",51,76
"House on Haunted Hill","Mystery & Suspense",93,"R",1999,10,29,5.6,44257,"Rotten",28,42
"Patch Adams","Drama",115,"PG-13",1998,12,25,6.7,77762,"Rotten",22,74
"Harry Potter and the Chamber of Secrets","Science Fiction & Fantasy",161,"PG",2002,11,15,7.4,368799,"Certified Fresh",82,79
"The Heavenly Kid","Drama",90,"PG-13",1985,7,26,6.2,2830,"Rotten",25,64
"Snow Flower And The Secret Fan","Art House & International",104,"PG-13",2011,7,15,6,2960,"Rotten",21,48
